,corporate_number,name,subsidy_title,amount,date_of_approval
299,1000020042021,石巻市,東日本大震災災害復旧等事業費,500000000,2016-04-28
251,1000020042021,石巻市,介護給付費財政調整交付金,820854000,2017-03-16
249,1000020042021,石巻市,障害児入所給付費等国庫負担金,88583325,2017-03-24
223,1000020042021,石巻市,情報通信技術利活用事業費補助金,183000,2017-04-14
222,1000020042021,石巻市,医療扶助費等国庫負担金,621376000,2017-04-14
221,1000020042021,石巻市,情報通信技術利活用事業費補助金,2934000,2017-04-14
220,1000020042021,石巻市,情報通信技術利活用事業費補助金,267000,2017-04-14
219,1000020042021,石巻市,消防防災設備災害復旧費補助金,75619000,2017-04-21
218,1000020042021,石巻市,消防防災施設災害復旧費補助金,183308000,2017-04-21
217,1000020042021,石巻市,消防防災施設整備費補助金,10772000,2017-04-21
216,1000020042021,石巻市,平成２９年度介護給付費負担金,2253000000,2017-04-28
215,1000020042021,石巻市,情報通信技術利活用事業費補助金,643000,2017-05-12
214,1000020042021,石巻市,情報通信技術利活用事業費補助金,59000,2017-05-12
213,1000020042021,石巻市,情報通信技術利活用事業費補助金,38000,2017-05-12
212,1000020042021,石巻市,情報通信技術利活用事業費補助金,1053000,2017-05-12
211,1000020042021,石巻市,情報通信技術利活用事業費補助金,1904000,2017-05-12
210,1000020042021,石巻市,情報通信技術利活用事業費補助金,806000,2017-05-12
209,1000020042021,石巻市,情報通信技術利活用事業費補助金,545000,2017-05-12
208,1000020042021,石巻市,国民健康保険介護納付金負担金,231048000,2017-05-16
207,1000020042021,石巻市,国民健康保険後期高齢者医療費支援金負担金,565682000,2017-05-16
206,1000020042021,石巻市,国民健康保険療養給付費等負担金,1993761000,2017-05-16
205,1000020042021,石巻市,平成２９年度低所得者保険料軽減負担金,12754560,2017-05-31
204,1000020042021,石巻市,特別障害者手当等給付費負担金,35712326,2017-06-02
203,1000020042021,石巻市,国民健康保険高額医療費共同事業負担金,155669610,2017-06-06
224,1000020042021,石巻市,情報通信技術利活用事業費補助金,1155000,2017-04-14
250,1000020042021,石巻市,障害者自立支援給付費国庫負担金,1088562278,2017-03-23
225,1000020042021,石巻市,情報通信技術利活用事業費補助金,38000,2017-04-14
227,1000020042021,石巻市,情報通信技術利活用事業費補助金,80000,2017-04-14
248,1000020042021,石巻市,平成２８年度（平成２７年度からの繰越分）社会保障・税番号制度システム整備費補助金,1598000,2017-03-30
247,1000020042021,石巻市,公的賃貸住宅家賃対策補助事業,7284000,2017-03-30
246,1000020042021,石巻市,平成２８年度社会保障・税番号制度システム整備費補助金,10507000,2017-03-30
245,1000020042021,石巻市,国民健康保険財政調整交付金（直営診療施設整備分を除く）,1813621000,2017-03-31
244,1000020042021,石巻市,国民健康保険介護納付金財政調整交付金,52638000,2017-03-31
243,1000020042021,石巻市,国民健康保険後期高齢者医療費支援金財政調整交付金,258027000,2017-03-31
242,1000020042021,石巻市,平成２９年度地域公共交通確保維持改善事業費補助金,60000000,2017-04-01
241,1000020042021,石巻市,文化財関係補助事業,88900000,2017-04-03
240,1000020042021,石巻市,生活扶助費等国庫負担金,461881000,2017-04-03
239,1000020042021,石巻市,児童扶養手当給付費負担金,222331182,2017-04-03
238,1000020042021,石巻市,文化芸術創造活用プラットフォーム形成事業,55200000,2017-04-03
237,1000020042021,石巻市,情報通信技術利活用事業費補助金,497000,2017-04-14
236,1000020042021,石巻市,情報通信技術利活用事業費補助金,1362000,2017-04-14
235,1000020042021,石巻市,情報通信技術利活用事業費補助金,909000,2017-04-14
234,1000020042021,石巻市,介護扶助費等国庫負担金,33068000,2017-04-14
233,1000020042021,石巻市,情報通信技術利活用事業費補助金,1389000,2017-04-14
232,1000020042021,石巻市,情報通信技術利活用事業費補助金,2053000,2017-04-14
231,1000020042021,石巻市,情報通信技術利活用事業費補助金,59000,2017-04-14
230,1000020042021,石巻市,情報通信技術利活用事業費補助金,2360000,2017-04-14
229,1000020042021,石巻市,情報通信技術利活用事業費補助金,2066000,2017-04-14
228,1000020042021,石巻市,情報通信技術利活用事業費補助金,163000,2017-04-14
226,1000020042021,石巻市,情報通信技術利活用事業費補助金,1672000,2017-04-14
300,1000020042021,石巻市,東日本大震災災害復旧等事業費,2505185000,2016-04-25
301,1000020042021,石巻市,消防防災施設整備費補助金,2693000,2016-04-22
302,1000020042021,石巻市,消防防災設備災害復旧費補助金,42663000,2016-04-22
375,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2022000,2015-05-08
374,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,860000,2015-05-08
373,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,965000,2015-05-08
372,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2803000,2015-05-08
371,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-819000,2015-05-21
370,1000020042021,石巻市,被災地域情報化推進事業,650000,2015-06-12
369,1000020042021,石巻市,被災地域情報化推進事業,909000,2015-06-12
368,1000020042021,石巻市,被災地域情報化推進事業,292000,2015-06-12
367,1000020042021,石巻市,被災地域情報化推進事業,1095000,2015-06-12
366,1000020042021,石巻市,農山漁村地域整備交付金,167000000,2015-06-15
365,1000020042021,石巻市,情報通信基盤災害復旧事業,23720000,2015-06-18
364,1000020042021,石巻市,東日本大震災復興交付金,7726771000,2015-06-25
363,1000020042021,石巻市,河川等災害復旧事業,6007000000,2015-06-26
362,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1095000,2015-06-29
361,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,650000,2015-06-29
360,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,292000,2015-06-29
359,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,909000,2015-06-29
358,1000020042021,石巻市,循環型社会形成推進交付金,18655000,2015-07-15
357,1000020042021,石巻市,消防防災施設災害復旧費補助金,-15022000,2015-07-30
356,1000020042021,石巻市,情報通信基盤災害復旧事業,9918000,2015-08-10
355,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,1189000,2015-09-03
376,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,915000,2015-05-08
354,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,2880000,2015-09-03
377,1000020042021,石巻市,消防防災施設災害復旧費補助金,45066000,2015-04-30
379,1000020042021,石巻市,消防防災設備災害復旧費補助金,71904000,2015-04-30
400,1000020042021,石巻市,文化財関係補助事業,74900000,2015-03-31
399,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,844000,2015-04-01
398,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1380000,2015-04-01
397,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,710000,2015-04-01
396,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2067000,2015-04-01
395,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,98000,2015-04-01
394,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,781000,2015-04-01
393,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1896000,2015-04-01
392,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,100000,2015-04-01
391,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,285000,2015-04-01
390,1000020042021,石巻市,特定被災地域公共交通調査事業,60000000,2015-04-01
389,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1153000,2015-04-01
388,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1537000,2015-04-01
387,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2030000,2015-04-01
386,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1161000,2015-04-01
385,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1166000,2015-04-01
384,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,162000,2015-04-01
383,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1435000,2015-04-01
382,1000020042021,石巻市,廃棄物処理施設モニタリング事業　費補助金,1425600,2015-04-09
381,1000020042021,石巻市,水産流通基盤整備事業（特定漁港漁場整備事業）,1675500000,2015-04-13
380,1000020042021,石巻市,河川等災害復旧事業,1291700000,2015-04-24
378,1000020042021,石巻市,消防防災施設災害復旧費補助金,202662000,2015-04-30
353,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,1601000,2015-09-03
352,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,990000,2015-09-03
351,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,354000,2015-09-03
323,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,2880000,2016-04-01
322,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1601000,2016-04-01
321,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1095000,2016-04-01
320,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,909000,2016-04-01
319,1000020042021,石巻市,廃棄物処理施設モニタリング事業　費補助金,2160000,2016-04-01
318,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,650000,2016-04-01
317,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1005000,2016-04-01
316,1000020042021,石巻市,文化財関係補助事業,88900000,2016-04-01
315,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,354000,2016-04-01
314,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,990000,2016-04-01
313,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,860000,2016-04-01
312,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,572000,2016-04-01
311,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1634000,2016-04-01
310,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,292000,2016-04-01
309,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1365000,2016-04-01
308,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,11000,2016-04-01
307,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,499000,2016-04-01
306,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1189000,2016-04-01
305,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-7000,2016-04-11
304,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-28000,2016-04-11
303,1000020042021,石巻市,消防防災施設災害復旧費補助金,287701000,2016-04-22
324,1000020042021,石巻市,公的賃貸住宅家賃対策補助事業,7709000,2016-03-28
325,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-826000,2016-03-24
326,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-565000,2016-03-24
327,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-958000,2016-03-22
350,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,1365000,2015-09-03
349,1000020042021,石巻市,消防防災施設災害復旧費補助金,15022000,2015-10-23
348,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,572000,2015-12-16
347,1000020042021,石巻市,復興街づくりＩＣＴ基盤整備事業,1634000,2015-12-16
346,1000020042021,石巻市,河川等災害復旧事業,6783327000,2015-12-25
345,1000020042021,石巻市,循環型社会形成推進交付金,4045000,2016-01-12
344,1000020042021,石巻市,東日本大震災復興交付金基金,51416000,2016-01-25
343,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,11000,2016-02-16
342,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,1005000,2016-02-16
341,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,12000,2016-02-16
202,1000020042021,石巻市,特別児童扶養手当事務取扱交付金,482790,2017-07-04
340,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-710000,2016-02-22
337,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-563000,2016-02-22
336,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-131000,2016-02-22
335,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-817000,2016-02-22
334,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-396000,2016-02-22
333,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-54000,2016-02-22
332,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-617000,2016-03-15
331,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-564000,2016-03-22
330,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-2780000,2016-03-22
329,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-171000,2016-03-22
328,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-286000,2016-03-22
339,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-52000,2016-02-22
201,1000020042021,石巻市,介護給付費財政調整交付金,758707000,2017-07-06
338,1000020042021,石巻市,．復興街づくりＩＣＴ基盤整備事業,-538000,2016-02-22
199,1000020042021,石巻市,平成２９年度（平成２８年度からの繰越分）国民健康保険制度関係業務準備事業費補助金,4197000,2017-07-10
72,1000020042021,石巻市,松島飛行場関連特定事業（石巻市子ども医療費助成事業）,46946000,2020-06-29
71,1000020042021,石巻市,農山漁村地域整備交付金,65000000,2020-07-15
70,1000020042021,石巻市,農山漁村地域整備交付金,2860000,2020-07-15
69,1000020042021,石巻市,令和２年度緊急スクールカウンセラー等活用事業,41788000,2020-07-21
68,1000020042021,石巻市,農山漁村地域整備交付金,46800000,2020-07-22
67,1000020042021,石巻市,地方創生支援事業費補助金（地方公共団体における持続可能な開発目標の達成に向けた取組の推進事業）,30000000,2020-08-24
66,1000020042021,石巻市,循環型社会形成推進交付金,8795000,2020-09-24
65,1000020042021,石巻市,循環型社会形成推進交付金,1259000,2020-09-24
64,1000020042021,石巻市,循環型社会形成推進交付金,521096000,2020-09-24
63,1000020042021,石巻市,循環型社会形成推進交付金,-199533000,2021-01-22
62,1000020042021,石巻市,松島飛行場関連特定事業（医療に関する事業：石巻市子ども医療費助成事業）,63583000,2021-02-03
61,1000020042021,石巻市,地方創生支援事業費補助金（地方公共団体における持続可能な開発目標の達成に向けた取組の推進事業）,-4150000,2021-02-10
60,1000020042021,石巻市,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,134500,2021-02-24
59,1000020042021,石巻市,公立社会教育施設災害復旧事業,1264413000,2021-03-03
58,1000020042021,石巻市,令和２年度防音事業関連維持事業,3634000,2021-03-12
57,1000020042021,石巻市,公立社会教育施設災害復旧事業,433551000,2021-03-18
56,1000020042021,石巻市,公的賃貸住宅家賃対策補助事業,4411000,2021-03-22
54,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,1656600,2021-04-01
53,1000020042021,石巻市,消防防災施設整備費補助金,2743000,2021-04-23
52,1000020042021,石巻市,令和３年度原子力発電施設等立地地域基盤整備支援事業交付金（福井県、愛媛県、佐賀県、美浜町、敦賀市、松江市、玄海町、伊方町、あおい町、女川町、石巻市、富岡町）,31492000,2021-05-10
51,1000020042021,石巻市,令和３年度エネルギー構造高度化・転換理解促進事業費補助金の交付決定について（石巻市　再生可能エネルギーを活用した低コスト陸上養殖実証調査）,47600000,2021-05-24
73,1000020042021,石巻市,消防団設備整備費補助金（消防団救助能力向上資機材緊急整備事業）,166000,2020-06-01
50,1000020042021,石巻市,令和３年度エネルギー構造高度化・転換理解促進事業費補助金の交付決定について（石巻市　マンガン酸リチウム系リチウムイオン電池部材のカスタマイズ及び開発事業）,100000000,2021-05-28
74,1000020042021,石巻市,消防防災施設整備費補助金,2743000,2020-04-24
76,1000020042021,石巻市,歴史活き活き！史跡等総合活用整備事業,90340000,2020-04-01
97,1000020042021,石巻市,河川等災害復旧事業,3514078000,2019-04-23
96,1000020042021,石巻市,離島活性化交付金,664000,2019-04-25
95,1000020042021,石巻市,消防団設備整備費補助金,1719000,2019-06-07
94,1000020042021,石巻市,松島飛行場関連特定事業（医療に関する事業：石巻市子ども医療費助成事業）,46830000,2019-06-24
93,1000020042021,石巻市,石巻市立青葉中学校防音機能復旧事業（実施設計）,1648000,2019-07-08
92,1000020042021,石巻市,令和元年度循環型社会形成推進交付金,13440000,2019-07-17
91,1000020042021,石巻市,令和元年度循環型社会形成推進交付金,21893000,2019-07-17
90,1000020042021,石巻市,石巻市立住吉中学校防音機能復旧事業,48494000,2019-07-19
89,1000020042021,石巻市,農山漁村地域整備交付金,553000000,2019-08-02
88,1000020042021,石巻市,緊急スクールカウンセラー等活用事業,42699000,2019-08-05
87,1000020042021,石巻市,学校・家庭・地域連携協力推進事業費補助金,156000,2019-09-12
86,1000020042021,石巻市,被災者支援総合交付金,249478000,2019-10-31
85,1000020042021,石巻市,東日本大震災復興交付金,556871000,2019-11-29
84,1000020042021,石巻市,災害等廃棄物処理事業費補助金,323367000,2019-12-02
83,1000020042021,石巻市,河川等災害復旧事業,112000,2019-12-20
82,1000020042021,石巻市,緊急スクールカウンセラー等活用事業,-173000,2019-12-25
81,1000020042021,石巻市,都市災害復旧事業,18919000,2020-03-12
80,1000020042021,石巻市,公立社会教育施設災害復旧事業,785094000,2020-03-13
79,1000020042021,石巻市,災害等廃棄物処理事業費補助金,708845000,2020-03-17
78,1000020042021,石巻市,河川等災害復旧事業,407733000,2020-03-19
77,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,1815000,2020-04-01
75,1000020042021,石巻市,令和元年度防音事業関連維持事業,4214000,2020-04-17
49,1000020042021,石巻市,松島飛行場関連特定事業（医療に関する事業：石巻市子ども医療費助成事業）,50066000,2021-06-07
48,1000020042021,石巻市,被災者支援総合交付金,177386000,2021-06-24
47,1000020042021,石巻市,石巻市立青葉中学校防音機能復旧事業,31089000,2021-06-29
20,1000020042021,石巻市,集約都市形成支援事業,3200000,2022-09-29
19,1000020042021,石巻市,河川等災害復旧事業,196051000,2022-12-23
18,1000020042021,石巻市,河川等災害復旧事業,60000000,2023-03-02
17,1000020042021,石巻市,河川等災害復旧事業,44532000,2023-03-16
16,1000020042021,石巻市,公的賃貸住宅家賃対策調整補助金,4345000,2023-03-22
15,1000020042021,石巻市,東日本大震災災害公営住宅家賃対策事業補助金,4182659000,2023-03-28
14,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,1267200,2023-04-03
13,1000020042021,石巻市,外国人受入環境整備交付金,462000,2023-04-03
12,1000020042021,石巻市,令和３年度防音事業関連維持事業,3101000,2023-04-17
11,1000020042021,石巻市,消防防災施設整備事業,2743000,2023-04-24
10,1000020042021,石巻市,令和５年度エネルギー構造高度化・転換理解促進事業費補助金（石巻市　ニホンジカ有害捕獲個体のバイオマス燃料への転換可能性調査）,19999680,2023-06-05
9,1000020042021,石巻市,令和５年度エネルギー構造高度化・転換理解促進事業費補助金（石巻市　マンガン酸リチウム系リチウムイオン電池用電極製造技術開発）,100000000,2023-06-06
8,1000020042021,石巻市,令和５年度エネルギー構造高度化・転換理解促進事業費補助金（石巻市　バイオマスエネルギー源となる微細藻類の生産・収穫プロセスの大幅な改良に関する技術開発）,65064948,2023-06-06
7,1000020042021,石巻市,松島飛行場関連特定事業（医療に関する事業：石巻市子ども医療費助成事業）,51152000,2023-06-21
6,1000020042021,石巻市,農山漁村地域整備交付金,19000000,2023-07-13
5,1000020042021,石巻市,地域連携道路事業,5000000,2023-08-14
4,1000020042021,石巻市,循環型社会形成推進交付金,12270000,2023-08-28
3,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,1958000,2024-04-10
2,1000020042021,石巻市,消防防災施設整備事業,15984000,2024-05-31
1,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,-172161,2024-07-30
200,1000020042021,石巻市,平成２９年度（平成２８年度からの繰越分）保育所等整備交付金,329280000,2017-07-07
21,1000020042021,石巻市,循環型社会形成推進交付金,2822000,2022-09-15
22,1000020042021,石巻市,循環型社会形成推進交付金,114000,2022-09-15
23,1000020042021,石巻市,循環型社会形成推進交付金,1773000,2022-09-15
24,1000020042021,石巻市,循環型社会形成推進交付金,9902000,2022-09-15
46,1000020042021,石巻市,循環型社会形成推進交付金,9310000,2021-08-23
45,1000020042021,石巻市,循環型社会形成推進交付金,120000,2021-08-23
44,1000020042021,石巻市,循環型社会形成推進交付金,1976126000,2021-08-23
43,1000020042021,石巻市,国宝重要文化財文化財等保存整備事業,4000000,2021-09-01
42,1000020042021,石巻市,災害等廃棄物処理事業費補助金,1011000,2022-02-10
41,1000020042021,石巻市,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,2609000,2022-03-16
40,1000020042021,石巻市,令和３年度新型コロナウイルス感染症患者等入院受入医療機関緊急支援事業補助金,9856000,2022-03-16
39,1000020042021,石巻市,公的賃貸住宅家賃対策調整補助金,4095000,2022-03-25
38,1000020042021,石巻市,東日本大震災災害公営住宅家賃対策事業補助金,4228101000,2022-03-28
37,1000020042021,石巻市,外国人受入環境整備交付金,445000,2022-04-01
98,1000020042021,石巻市,消防防災施設整備費補助金,2743000,2019-04-19
36,1000020042021,石巻市,廃棄物処理施設モニタリング等事業費補助金,1656600,2022-04-18
34,1000020042021,石巻市,令和４年度原子力発電施設等立地地域基盤整備支援事業交付金（石巻市）,26243000,2022-05-18
33,1000020042021,石巻市,消防防災施設整備費補助金,2743000,2022-05-20
32,1000020042021,石巻市,消防防災施設整備費補助金,1820000,2022-05-20
31,1000020042021,石巻市,スポーツによるまちづくり・地域活性化活動支援事業,2500000,2022-05-27
30,1000020042021,石巻市,令和４年度エネルギー構造高度化・転換理解促進事業費補助金（石巻市　再生可能エネルギーを活用した低コスト陸上養殖実証調査）,36000000,2022-05-30
29,1000020042021,石巻市,令和４年度電源立地地域対策交付金（２０２２０４２８東北第４４号）,87581000,2022-05-31
28,1000020042021,石巻市,松島飛行場関連特定事業（医療に関する事業：石巻市子ども医療費助成事業）,50786000,2022-06-22
27,1000020042021,石巻市,石巻市立青葉中学校防音機能復旧事業,28817000,2022-06-28
26,1000020042021,石巻市,農山漁村地域整備交付金,38000000,2022-07-11
25,1000020042021,石巻市,令和４年度エネルギー構造高度化・転換理解促進事業費補助金（石巻市　マンガン酸リチウム系リチウムイオン電池の電極製造技術とＢＭＵの開発）,32057000,2022-07-26
35,1000020042021,石巻市,令和３年度防音事業関連維持事業,3022000,2022-04-20
99,1000020042021,石巻市,平成３１年度廃棄物処理施設モニタリング等事業費補助金,1268760,2019-04-01
55,1000020042021,石巻市,外国人受入環境整備交付金,509000,2021-04-01
101,1000020042021,石巻市,国宝重要文化財文化財等保存整備事業,90507000,2019-04-01
172,1000020042021,石巻市,平成２９年度子ども・子育て支援体制整備総合推進事業,783000,2017-12-27
171,1000020042021,石巻市,生活扶助費等国庫負担金,749346000,2017-12-27
170,1000020042021,石巻市,医療扶助費等国庫負担金,900504000,2017-12-27
169,1000020042021,石巻市,児童扶養手当給付費負担金,254203554,2018-01-04
168,1000020042021,石巻市,母子保健医療対策総合支援事業,1633000,2018-01-09
167,1000020042021,石巻市,地域介護・福祉空間整備等施設整備交付金,1784000,2018-01-12
166,1000020042021,石巻市,障害児入所給付費等国庫負担金,91524254,2018-01-18
